code,name,role,note
ahr,Asia Human Resources,Senior Talent Development Specialist,
ahr,Asia Human Resources,Talent Development Coordinator,
ahr,Asia Human Resources,Talent Development Specialist,
ahr,Asia Human Resources,Senior Team Leader of Human Resources,
ahr,Asia Human Resources,Talent Development Project Leader,
cgi,CGI,3D Animation Artist,
cgi,CGI,Product Content-Digital Asset Coordinator,
cgi,CGI,3D Artist,
cgi,CGI,3D Material Artist,
cgi,CGI,CGI Photographer,
eng,Engineering,Process Engineer,
eng,Engineering,Industrial Engineer,
eng,Engineering,Packaging Engineer,
eng,Engineering,Project Engineer,
eng,Engineering,Packaging Engineering Specialist,
eng,Engineering,Engineering Assistant,
eng,Engineering,Compliance Engineer,
eng,Engineering,System Process Engineer,
eng,Engineering,Product Engineer,
eng,Engineering,Senior Compliance Engineer,
eng,Engineering,Senior Industrial Engineer,
eng,Engineering,Senior System Process Engineer,
eng,Engineering,Team Leader of Product Engineering,
eng,Engineering,Senior Team Leader of  Compliance Engineering,
eng,Engineering,Engineering Project Manager,
eng,Engineering,Senior Team Leader of Product Engineering,
eng,Engineering,Team Leader of System Process Engineering,
eng,Engineering,Senior System Engineer,under review
eng,Engineering,System Engineer,under review
hradmin,HR and Administration,HR and Admin Officer,
hradmin,HR and Administration,Accountant,
hradmin,HR and Administration,Senior IT Specialist,
hradmin,HR and Administration,Recruiting Specialist,
hradmin,HR and Administration,IT Specialist,
hradmin,HR and Administration,Senior HR and Admin Officer,
hradmin,HR and Administration,Senior Accountant,
pd,Product Development,Product Developer,
pd,Product Development,Finishing Technician,
pd,Product Development,Product Development Administrator,
pd,Product Development,Senior Product Developer,
pd,Product Development,Team Leader of Product Development,
pd,Product Development,Senior Team Leader of Product Development,
pd,Product Development,Finishing Specialist,
pd,Product Development,Team Leader of Product Development Material,
pd,Product Development,Manager of Product Development,under review
qa,Quality Assurance,Quality Control Inspector,
qa,Quality Assurance,Quality Assurance CI,
qa,Quality Assurance,Field Testing Coordinator,
qa,Quality Assurance,Vendor Champion,
qa,Quality Assurance,Quality Assurance Administrator,
qa,Quality Assurance,"Director of Quality, Asia",
qa,Quality Assurance,Senior Field Testing Coordinator,
qa,Quality Assurance,Team Leader of Performance Testing,
qa,Quality Assurance,Senior Quality Assurance CI,
qa,Quality Assurance,Quality Manager,under review
qa,Quality Assurance,Quality Project Manager,under review
sqe,Sample Quality Engineering,Sample Quality Engineer,
sqe,Sample Quality Engineering,Senior Sample Quality Engineer,
ss,Strategic Sourcing,Senior Manager of Strategic Sourcing,
ss,Strategic Sourcing,Material Assurance Specialist,
ss,Strategic Sourcing,Team Leader of Material Assurance,
ss,Strategic Sourcing,Cost Analyst,
ss,Strategic Sourcing,Material Sourcing Specialist,
se,Strategy Execution,Solutions Development Specialist,
se,Strategy Execution,Process Integration Associate,
se,Strategy Execution,Strategy Specialist,
vp,HoDs - Evaluate by the VP,Vice President of Sourcing,
vp,HoDs - Evaluate by the VP,Team Leader of CGI,CGI
vp,HoDs - Evaluate by the VP,Manager of Engineering,Engineering
vp,HoDs - Evaluate by the VP,Manager of HR and Admin,HR and Administration
vp,HoDs - Evaluate by the VP,"Director of Product Development, Asia",Product Development
vp,HoDs - Evaluate by the VP,Sample Quality Engineering Project Leader,Sample Quality Engineering
vp,HoDs - Evaluate by the VP,Manager of Strategic Sourcing,Strategic Sourcing
vp,HoDs - Evaluate by the VP,Manager of Strategy Execution,Strategy Execution
